Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4
Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V)
04/23/2024 01:21:35 pm,0.090,1.2E-6,04/23/2024 01:21:47 pm,0.090,-1.2E-9,04/23/2024 01:21:57 pm,0.090,1.3E-6,04/23/2024 01:22:05 pm,0.090,8.1E-7
04/23/2024 01:21:35 pm,0.091,1.2E-6,04/23/2024 01:21:47 pm,0.091,2.2E-7,04/23/2024 01:21:57 pm,0.091,1.3E-6,04/23/2024 01:22:05 pm,0.091,9.6E-7
04/23/2024 01:21:35 pm,0.092,1.1E-6,04/23/2024 01:21:47 pm,0.092,5.5E-8,04/23/2024 01:21:57 pm,0.092,1.2E-6,04/23/2024 01:22:05 pm,0.092,9.3E-7
04/23/2024 01:21:35 pm,0.093,1.1E-6,04/23/2024 01:21:47 pm,0.093,2.3E-8,04/23/2024 01:21:57 pm,0.093,1.2E-6,04/23/2024 01:22:05 pm,0.093,8.7E-7
04/23/2024 01:21:35 pm,0.094,1.2E-6,04/23/2024 01:21:47 pm,0.094,-7.0E-8,04/23/2024 01:21:57 pm,0.094,1.1E-6,04/23/2024 01:22:05 pm,0.094,7.9E-7
04/23/2024 01:21:35 pm,0.095,1.1E-6,04/23/2024 01:21:47 pm,0.095,-1.4E-7,04/23/2024 01:21:57 pm,0.095,1.2E-6,04/23/2024 01:22:05 pm,0.095,6.5E-7
04/23/2024 01:21:35 pm,0.096,1.1E-6,04/23/2024 01:21:47 pm,0.096,-2.5E-7,04/23/2024 01:21:57 pm,0.096,1.2E-6,04/23/2024 01:22:05 pm,0.096,7.5E-7
04/23/2024 01:21:35 pm,0.097,1.1E-6,04/23/2024 01:21:47 pm,0.097,-3.6E-7,04/23/2024 01:21:57 pm,0.097,1.2E-6,04/23/2024 01:22:05 pm,0.097,7.6E-7
04/23/2024 01:21:35 pm,0.098,1.1E-6,04/23/2024 01:21:47 pm,0.098,-3.0E-7,04/23/2024 01:21:57 pm,0.098,1.3E-6,04/23/2024 01:22:05 pm,0.098,8.6E-7
04/23/2024 01:21:35 pm,0.099,1.1E-6,04/23/2024 01:21:47 pm,0.099,-3.5E-7,04/23/2024 01:21:57 pm,0.099,1.1E-6,04/23/2024 01:22:05 pm,0.099,7.0E-7
04/23/2024 01:21:35 pm,0.100,9.9E-7,04/23/2024 01:21:47 pm,0.100,-2.7E-7,04/23/2024 01:21:57 pm,0.100,1.2E-6,04/23/2024 01:22:05 pm,0.100,8.8E-7
04/23/2024 01:21:35 pm,0.101,9.7E-7,04/23/2024 01:21:47 pm,0.101,-3.6E-7,04/23/2024 01:21:57 pm,0.101,1.3E-6,04/23/2024 01:22:05 pm,0.101,6.8E-7
04/23/2024 01:21:35 pm,0.102,1.1E-6,04/23/2024 01:21:47 pm,0.102,-5.0E-7,04/23/2024 01:21:57 pm,0.102,1.2E-6,04/23/2024 01:22:05 pm,0.102,7.1E-7
04/23/2024 01:21:35 pm,0.103,1.1E-6,04/23/2024 01:21:47 pm,0.103,-4.9E-7,04/23/2024 01:21:57 pm,0.103,1.3E-6,04/23/2024 01:22:05 pm,0.103,7.9E-7
04/23/2024 01:21:35 pm,0.104,1.3E-6,04/23/2024 01:21:47 pm,0.104,-4.5E-7,04/23/2024 01:21:57 pm,0.104,1.1E-6,04/23/2024 01:22:05 pm,0.104,7.2E-7
04/23/2024 01:21:35 pm,0.105,1.0E-6,04/23/2024 01:21:47 pm,0.105,-5.7E-7,04/23/2024 01:21:57 pm,0.105,1.3E-6,04/23/2024 01:22:05 pm,0.105,8.4E-7
04/23/2024 01:21:35 pm,0.106,1.1E-6,04/23/2024 01:21:47 pm,0.106,-5.7E-7,04/23/2024 01:21:57 pm,0.106,1.3E-6,04/23/2024 01:22:05 pm,0.106,8.4E-7
04/23/2024 01:21:35 pm,0.107,1.1E-6,04/23/2024 01:21:47 pm,0.107,-4.1E-7,04/23/2024 01:21:57 pm,0.107,1.2E-6,04/23/2024 01:22:05 pm,0.107,7.1E-7
04/23/2024 01:21:35 pm,0.108,1.2E-6,04/23/2024 01:21:47 pm,0.108,-6.0E-7,04/23/2024 01:21:57 pm,0.108,1.2E-6,04/23/2024 01:22:05 pm,0.108,8.0E-7
04/23/2024 01:21:35 pm,0.109,1.2E-6,04/23/2024 01:21:47 pm,0.109,-6.0E-7,04/23/2024 01:21:57 pm,0.109,1.3E-6,04/23/2024 01:22:05 pm,0.109,7.8E-7
04/23/2024 01:21:35 pm,0.110,1.2E-6,04/23/2024 01:21:47 pm,0.110,-5.6E-7,04/23/2024 01:21:57 pm,0.110,1.1E-6,04/23/2024 01:22:05 pm,0.110,6.7E-7
04/23/2024 01:21:35 pm,0.111,1.1E-6,04/23/2024 01:21:47 pm,0.111,-5.5E-7,04/23/2024 01:21:57 pm,0.111,1.1E-6,04/23/2024 01:22:05 pm,0.111,6.6E-7
04/23/2024 01:21:35 pm,0.112,1.2E-6,04/23/2024 01:21:47 pm,0.112,-6.2E-7,04/23/2024 01:21:57 pm,0.112,1.2E-6,04/23/2024 01:22:05 pm,0.112,7.8E-7
04/23/2024 01:21:35 pm,0.113,1.2E-6,04/23/2024 01:21:47 pm,0.113,-5.3E-7,04/23/2024 01:21:57 pm,0.113,1.2E-6,04/23/2024 01:22:05 pm,0.113,6.3E-7
04/23/2024 01:21:35 pm,0.114,1.1E-6,04/23/2024 01:21:47 pm,0.114,-4.2E-7,04/23/2024 01:21:57 pm,0.114,1.0E-6,04/23/2024 01:22:05 pm,0.114,6.1E-7
04/23/2024 01:21:35 pm,0.115,1.1E-6,04/23/2024 01:21:47 pm,0.115,-6.5E-7,04/23/2024 01:21:57 pm,0.115,1.2E-6,04/23/2024 01:22:05 pm,0.115,6.6E-7
04/23/2024 01:21:35 pm,0.116,1.1E-6,04/23/2024 01:21:47 pm,0.116,-5.4E-7,04/23/2024 01:21:57 pm,0.116,1.2E-6,04/23/2024 01:22:05 pm,0.116,6.7E-7
04/23/2024 01:21:35 pm,0.117,1.1E-6,04/23/2024 01:21:47 pm,0.117,-4.9E-7,04/23/2024 01:21:57 pm,0.117,1.2E-6,04/23/2024 01:22:05 pm,0.117,6.9E-7
04/23/2024 01:21:35 pm,0.118,1.2E-6,04/23/2024 01:21:47 pm,0.118,-5.2E-7,04/23/2024 01:21:57 pm,0.118,1.3E-6,04/23/2024 01:22:05 pm,0.118,7.4E-7
04/23/2024 01:21:35 pm,0.119,1.0E-6,04/23/2024 01:21:47 pm,0.119,-5.6E-7,04/23/2024 01:21:57 pm,0.119,1.1E-6,04/23/2024 01:22:05 pm,0.119,6.5E-7
